NBAName,NBABirthDate,NBAID,NBALinks,BBRefName,BBRefID,BBRefBirthDate,BBRefLink,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
Anderson Varejao,9/28/1982,2760,https://www.nba.com/stats/player/2760/career/,Anderson Varej„o,varejan01,9/28/1982,https://www.basketball-reference.com/players/v/varejan01.html,18,F,6'11,273 lbs,,Brazil
Andrae Patterson,11/12/1975,1754,https://www.nba.com/stats/player/1754/career/,Andrae Patterson,pattean01,11/12/1975,https://www.basketball-reference.com/players/p/pattean01.html,45,F,6'9,238 lbs,Indiana,USA
Andray Blatche,8/22/1986,101154,https://www.nba.com/stats/player/101154/career/,Andray Blatche,blatcan01,8/22/1986,https://www.basketball-reference.com/players/b/blatcan01.html,0,C-F,6'11,260 lbs,South Kent HS (CT),USA
Andre Barrett,2/21/1982,2857,https://www.nba.com/stats/player/2857/career/,Andre Barrett,barrean01,2/21/1982,https://www.basketball-reference.com/players/b/barrean01.html,11,G,5'10,173 lbs,Seton Hall,USA
Andre Brown,5/12/1981,2810,https://www.nba.com/stats/player/2810/career/,Andre Brown,brownan01,5/12/1981,https://www.basketball-reference.com/players/b/brownan01.html,44,F,6'9,245 lbs,DePaul,USA
Andre Dawkins,9/19/1991,203958,https://www.nba.com/stats/player/203958/career/,Andre Dawkins,dawkian01,9/19/1991,https://www.basketball-reference.com/players/d/dawkian01.html,24,G,6'5,219 lbs,Duke,USA
Andre Drummond,8/10/1993,203083,https://www.nba.com/stats/player/203083/career/,Andre Drummond,drumman01,8/10/1993,https://www.basketball-reference.com/players/d/drumman01.html,2,C,6'10,279 lbs,Connecticut,USA
Andre Emmett,8/27/1982,2765,https://www.nba.com/stats/player/2765/career/,Andre Emmett,emmetan01,8/27/1982,https://www.basketball-reference.com/players/e/emmetan01.html,14,G,6'5,230 lbs,Texas Tech,USA
Andre Iguodala,1/28/1984,2738,https://www.nba.com/stats/player/2738/career/,Andre Iguodala,iguodan01,1/28/1984,https://www.basketball-reference.com/players/i/iguodan01.html,28,G-F,6'6,215 lbs,Arizona,USA
Andre Ingram,11/19/1985,201281,https://www.nba.com/stats/player/201281/career/,Andre Ingram,ingraan01,11/19/1985,https://www.basketball-reference.com/players/i/ingraan01.html,20,G,6'3,190 lbs,American University,USA
Andre McCarter,8/25/1953,77504,https://www.nba.com/stats/player/77504/career/,Andre McCarter,mccaran01,8/25/1953,https://www.basketball-reference.com/players/m/mccaran01.html,33,G,6'3,190 lbs,UCLA,USA
Andre Miller,3/19/1976,1889,https://www.nba.com/stats/player/1889/career/,Andre Miller,millean02,3/19/1976,https://www.basketball-reference.com/players/m/millean02.html,24,G,6'3,200 lbs,Utah,USA
