NBAName,NBABirthDate,NBAID,NBALinks,BBRefName,BBRefID,BBRefBirthDate,BBRefLink,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
Paul Millsap,2/10/1985,200794,https://www.nba.com/stats/player/200794/career/,Paul Millsap,millspa01,2/10/1985,https://www.basketball-reference.com/players/m/millspa01.html,4,F,6'7,257 lbs,Louisiana Tech,USA
Paul Mokeski,1/3/1957,77623,https://www.nba.com/stats/player/77623/career/,Paul Mokeski,mokespa01,1/3/1957,https://www.basketball-reference.com/players/m/mokespa01.html,44,C,7'1,250 lbs,Kansas,USA
Paul Napolitano,2/3/1923,77686,https://www.nba.com/stats/player/77686/career/,,,,,,G,6'2,185 lbs,San Francisco,USA
Paul Neumann,1/30/1938,77706,https://www.nba.com/stats/player/77706/career/,Paul Neumann,neumapa01,1/30/1938,https://www.basketball-reference.com/players/n/neumapa01.html,15,G,6'1,175 lbs,Stanford,USA
Paul Noel,8/4/1924,77723,https://www.nba.com/stats/player/77723/career/,Paul Noel,noelpa01,8/17/1924,https://www.basketball-reference.com/players/n/noelpa01.html,15,F,6'4,185 lbs,Kentucky,USA
Paul Nolen,9/3/1929,77725,https://www.nba.com/stats/player/77725/career/,Paul Nolen,nolenpa01,9/3/1929,https://www.basketball-reference.com/players/n/nolenpa01.html,,C,6'10,,Texas Tech,USA
Paul Pierce,10/13/1977,1718,https://www.nba.com/stats/player/1718/career/,Paul Pierce,piercpa01,10/13/1977,https://www.basketball-reference.com/players/p/piercpa01.html,34,F,6'7,235 lbs,Kansas,USA
Paul Pressey,12/24/1958,77879,https://www.nba.com/stats/player/77879/career/,Paul Pressey,presspa01,12/24/1958,https://www.basketball-reference.com/players/p/presspa01.html,5,G,6'5,185 lbs,Tulsa,USA
Paul Reed,6/14/1999,1630194,https://www.nba.com/stats/player/1630194/career/,Paul Reed,reedpa01,6/14/1999,https://www.basketball-reference.com/players/r/reedpa01.html,44,F,6'9,210 lbs,DePaul,USA
Paul Ruffner,10/15/1948,78039,https://www.nba.com/stats/player/78039/career/,Paul Ruffner,ruffnpa01,10/15/1948,https://www.basketball-reference.com/players/r/ruffnpa01.html,22,C,6'10,225 lbs,Brigham Young,USA
Paul Seymour,1/30/1928,78117,https://www.nba.com/stats/player/78117/career/,Paul Seymour,seymopa01,1/30/1928,https://www.basketball-reference.com/players/s/seymopa01.html,5,G,6'1,180 lbs,Toledo,USA
Paul Shirley,12/23/1977,2321,https://www.nba.com/stats/player/2321/career/,Paul Shirley,shirlpa01,12/23/1977,https://www.basketball-reference.com/players/s/shirlpa01.html,17,F,6'10,230 lbs,Iowa State,USA
Paul Silas,7/12/1943,78151,https://www.nba.com/stats/player/78151/career/,Paul Silas,silaspa01,7/12/1943,https://www.basketball-reference.com/players/s/silaspa01.html,36,F,6'7,220 lbs,Creighton,USA
Paul Stovall,8/16/1948,78267,https://www.nba.com/stats/player/78267/career/,Paul Stovall,stovapa01,8/16/1948,https://www.basketball-reference.com/players/s/stovapa01.html,23,F,6'4,215 lbs,Arizona State,USA
Paul Thompson,5/25/1961,78332,https://www.nba.com/stats/player/78332/career/,Paul Thompson,thomppa01,5/25/1961,https://www.basketball-reference.com/players/t/thomppa01.html,44,G,6'6,210 lbs,Tulane,USA
Paul Walther,3/23/1927,78447,https://www.nba.com/stats/player/78447/career/,Paul Walther,walthpa01,3/23/1927,https://www.basketball-reference.com/players/w/walthpa01.html,5,G,6'2,160 lbs,Tennessee,USA
Paul Watson,12/30/1994,1628778,https://www.nba.com/stats/player/1628778/career/,Paul Watson,watsopa01,12/30/1994,https://www.basketball-reference.com/players/w/watsopa01.html,1,G,6'6,210 lbs,Fresno State,USA
Paul Westphal,11/30/1950,78500,https://www.nba.com/stats/player/78500/career/,Paul Westphal,westppa01,11/30/1950,https://www.basketball-reference.com/players/w/westppa01.html,44,G,6'4,195 lbs,Southern California,USA
Paul Zipser,2/18/1994,1627835,https://www.nba.com/stats/player/1627835/career/,Paul Zipser,zipsepa01,2/18/1994,https://www.basketball-reference.com/players/z/zipsepa01.html,16,F,6'8,226 lbs,Bayern Munich,Germany
Pavel Podkolzin,1/15/1985,2750,https://www.nba.com/stats/player/2750/career/,Pavel Podkolzin,podkopa01,1/15/1985,https://www.basketball-reference.com/players/p/podkopa01.html,24,C,7'5,260 lbs,Metis Varese,Russia
Payton Pritchard,1/28/1998,1630202,https://www.nba.com/stats/player/1630202/career/,Payton Pritchard,pritcpa01,1/28/1998,https://www.basketball-reference.com/players/p/pritcpa01.html,11,G,6'1,195 lbs,Oregon,USA
Peja Stojakovic,6/9/1977,978,https://www.nba.com/stats/player/978/career/,Peja Stojakovic,stojape01,6/9/1977,https://www.basketball-reference.com/players/s/stojape01.html,16,F,6'10,229 lbs,PAOK,Serbia
Pepe Sanchez,5/8/1977,2143,https://www.nba.com/stats/player/2143/career/,Pepe S·nchez,sanchpe01,5/8/1977,https://www.basketball-reference.com/players/s/sanchpe01.html,6,G,6'4,195 lbs,Temple,Argentina
Pero Antic,7/29/1982,203544,https://www.nba.com/stats/player/203544/career/,Pero Antic,anticpe01,7/29/1982,https://www.basketball-reference.com/players/a/anticpe01.html,6,F-C,6'11,260 lbs,Olympiacos,Macedonia
Perry Jones III,9/24/1991,203103,https://www.nba.com/stats/player/203103/career/,Perry Jones,jonespe01,9/24/1991,https://www.basketball-reference.com/players/j/jonespe01.html,3,F,6'11,235 lbs,Baylor,USA
Perry Moss,11/11/1958,77654,https://www.nba.com/stats/player/77654/career/,Perry Moss,mosspe01,11/11/1958,https://www.basketball-reference.com/players/m/mosspe01.html,10,G,6'2,185 lbs,Northeastern,USA
Perry Warbington,9/7/1952,78454,https://www.nba.com/stats/player/78454/career/,Perry Warbington,warbipe01,9/7/1952,https://www.basketball-reference.com/players/w/warbipe01.html,22,G,6'2,165 lbs,Georgia Southern,USA
Perry Young,8/4/1963,78635,https://www.nba.com/stats/player/78635/career/,Perry Young,youngpe01,8/4/1963,https://www.basketball-reference.com/players/y/youngpe01.html,2,G,6'5,210 lbs,Virginia Tech,USA
Pervis Ellison,4/3/1967,442,https://www.nba.com/stats/player/442/career/,Pervis Ellison,ellispe01,4/3/1967,https://www.basketball-reference.com/players/e/ellispe01.html,29,C-F,6'10,235 lbs,Louisville,USA
Pete Brennan,9/23/1936,76245,https://www.nba.com/stats/player/76245/career/,Pete Brennan,brennpe01,9/23/1936,https://www.basketball-reference.com/players/b/brennpe01.html,15-16,F,6'6,205 lbs,North Carolina,USA
Pete Chilcutt,9/14/1968,432,https://www.nba.com/stats/player/432/career/,Pete Chilcutt,chilcpe01,9/14/1968,https://www.basketball-reference.com/players/c/chilcpe01.html,24,F,6'10,245 lbs,North Carolina,USA
Pete Cross,3/28/1948,76477,https://www.nba.com/stats/player/76477/career/,Pete Cross,crosspe01,3/28/1948,https://www.basketball-reference.com/players/c/crosspe01.html,41,C,6'9,230 lbs,San Francisco,USA
Pete Lalich,6/23/1920,77329,https://www.nba.com/stats/player/77329/career/,,,,,,F,6'2,190 lbs,Ohio,USA
Pete Maravich,6/22/1947,77459,https://www.nba.com/stats/player/77459/career/,Pete Maravich,maravpe01,6/22/1947,https://www.basketball-reference.com/players/m/maravpe01.html,7,G,6'5,197 lbs,Louisiana State,USA
Pete Myers,9/15/1963,939,https://www.nba.com/stats/player/939/career/,Pete Myers,myerspe01,9/15/1963,https://www.basketball-reference.com/players/m/myerspe01.html,20,G-F,6'6,192 lbs,Arkansas-Little Rock,USA
Pete Williams,3/10/1965,78566,https://www.nba.com/stats/player/78566/career/,Pete Williams,willipe01,3/10/1965,https://www.basketball-reference.com/players/w/willipe01.html,31,F,6'7,190 lbs,Arizona,USA
Peter Aluma,4/26/1973,1824,https://www.nba.com/stats/player/1824/career/,Peter Aluma,alumape01,4/23/1973,https://www.basketball-reference.com/players/a/alumape01.html,43,C,6'10,260 lbs,Liberty,USA
Peter John Ramos,5/23/1985,2762,https://www.nba.com/stats/player/2762/career/,Peter John Ramos,ramospe01,5/13/1985,https://www.basketball-reference.com/players/r/ramospe01.html,34,C,7'3,275 lbs,Caguas,Puerto Rico
Peter Maravich,8/20/1920,77458,https://www.nba.com/stats/player/77458/career/,,,,,,G,6'1,185 lbs,Davis & Elkins,USA
Peter Thibeaux,10/3/1961,78311,https://www.nba.com/stats/player/78311/career/,Peter Thibeaux,thibepe01,10/3/1961,https://www.basketball-reference.com/players/t/thibepe01.html,7,F,6'7,210 lbs,St. Mary's (CA),USA
Peter Verhoeven,2/15/1959,78414,https://www.nba.com/stats/player/78414/career/,Pete Verhoeven,verhope01,2/15/1959,https://www.basketball-reference.com/players/v/verhope01.html,50,F,6'9,215 lbs,Fresno State,USA
Petur Gudmundsson,10/30/1958,76901,https://www.nba.com/stats/player/76901/career/,PÈtur Gumundsson,gudmupe01,10/30/1958,https://www.basketball-reference.com/players/g/gudmupe01.html,35,C,7'2,260 lbs,Washington,USA
Peyton Siva,10/24/1990,203491,https://www.nba.com/stats/player/203491/career/,Peyton Siva,sivape01,10/24/1990,https://www.basketball-reference.com/players/s/sivape01.html,34,G,6'1,185 lbs,Louisville,USA
Phil Bond,7/27/1954,76198,https://www.nba.com/stats/player/76198/career/,Phil Bond,bondph01,7/27/1954,https://www.basketball-reference.com/players/b/bondph01.html,30,G,6'2,175 lbs,Louisville,USA
Phil Chenier,10/30/1950,76386,https://www.nba.com/stats/player/76386/career/,Phil Chenier,cheniph01,10/30/1950,https://www.basketball-reference.com/players/c/cheniph01.html,15,G,6'3,180 lbs,California,USA
Phil Farbman,4/3/1924,76692,https://www.nba.com/stats/player/76692/career/,,,,,8,F,6'1,185 lbs,City College of New York,USA
Phil Ford,2/9/1956,76736,https://www.nba.com/stats/player/76736/career/,Phil Ford,fordph01,2/9/1956,https://www.basketball-reference.com/players/f/fordph01.html,1,G,6'2,175 lbs,North Carolina,USA
Phil Hankinson,7/26/1951,76936,https://www.nba.com/stats/player/76936/career/,Phil Hankinson,hankiph01,7/26/1951,https://www.basketball-reference.com/players/h/hankiph01.html,20,F,6'8,195 lbs,Pennsylvania,USA
Phil Hicks,1/31/1953,77017,https://www.nba.com/stats/player/77017/career/,Phil Hicks,hicksph01,1/31/1953,https://www.basketball-reference.com/players/h/hicksph01.html,55,F,6'7,205 lbs,Tulane,USA
Phil Hubbard,12/13/1956,77071,https://www.nba.com/stats/player/77071/career/,Phil Hubbard,hubbaph01,12/13/1956,https://www.basketball-reference.com/players/h/hubbaph01.html,35,F,6'8,215 lbs,Michigan,USA
Phil Jackson,9/17/1945,77106,https://www.nba.com/stats/player/77106/career/,Phil Jackson,jacksph01,9/17/1945,https://www.basketball-reference.com/players/j/jacksph01.html,17,F,6'8,220 lbs,North Dakota,USA
Phil Jordon,9/12/1933,77210,https://www.nba.com/stats/player/77210/career/,Phil Jordon,jordoph01,9/12/1933,https://www.basketball-reference.com/players/j/jordoph01.html,29,C,6'10,205 lbs,Whitworth,USA
Phil Lumpkin,12/20/1951,77424,https://www.nba.com/stats/player/77424/career/,Phil Lumpkin,lumpkph01,12/20/1951,https://www.basketball-reference.com/players/l/lumpkph01.html,10,G,6'1,165 lbs,Miami (Ohio),USA
Phil Martin,4/2/1928,77477,https://www.nba.com/stats/player/77477/career/,Phil Martin,martiph01,4/2/1928,https://www.basketball-reference.com/players/m/martiph01.html,6,G,6'3,190 lbs,Toledo,USA
Phil Pressey,2/17/1991,203515,https://www.nba.com/stats/player/203515/career/,Phil Pressey,pressph01,2/17/1991,https://www.basketball-reference.com/players/p/pressph01.html,26,G,5'11,175 lbs,Missouri,USA
Phil Rollins,1/19/1934,78013,https://www.nba.com/stats/player/78013/career/,Phil Rollins,rolliph01,1/19/1934,https://www.basketball-reference.com/players/r/rolliph01.html,3,G,6'2,185 lbs,Louisville,USA
Phil Sellers,11/20/1953,78111,https://www.nba.com/stats/player/78111/career/,Phil Sellers,selleph01,11/20/1953,https://www.basketball-reference.com/players/s/selleph01.html,11,F,6'4,195 lbs,Rutgers,USA
Phil Smith,4/22/1952,78199,https://www.nba.com/stats/player/78199/career/,Phil Smith,smithph01,4/22/1952,https://www.basketball-reference.com/players/s/smithph01.html,20,G,6'4,185 lbs,San Francisco,USA
Phil Walker,3/20/1956,78441,https://www.nba.com/stats/player/78441/career/,Phil Walker,walkeph01,3/20/1956,https://www.basketball-reference.com/players/w/walkeph01.html,20,G,6'3,180 lbs,Millersville,USA
Phil Zevenbergen,4/13/1964,78644,https://www.nba.com/stats/player/78644/career/,Phil Zevenbergen,zevenph01,4/13/1964,https://www.basketball-reference.com/players/z/zevenph01.html,41,F,6'10,230 lbs,Washington,USA
Pierre Jackson,8/29/1991,203510,https://www.nba.com/stats/player/203510/career/,Pierre Jackson,jackspi01,8/29/1991,https://www.basketball-reference.com/players/j/jackspi01.html,55,G,5'10,180 lbs,Baylor,USA
PJ Dozier,10/25/1996,1628408,https://www.nba.com/stats/player/1628408/career/,PJ Dozier,doziepj01,10/25/1996,https://www.basketball-reference.com/players/d/doziepj01.html,35,G-F,6'6,205 lbs,South Carolina,USA
PJ Hairston,12/24/1992,203798,https://www.nba.com/stats/player/203798/career/,P.J. Hairston,hairspj02,12/24/1992,https://www.basketball-reference.com/players/h/hairspj02.html,19,F-G,6'6,230 lbs,North Carolina,USA
Plummer Lott,12/11/1945,77410,https://www.nba.com/stats/player/77410/career/,Plummer Lott,lottpl01,12/11/1945,https://www.basketball-reference.com/players/l/lottpl01.html,43,F,6'5,210 lbs,Seattle,USA
Pooh Jeter,12/2/1983,200817,https://www.nba.com/stats/player/200817/career/,Eugene Jeter,jetereu01,12/2/1983,https://www.basketball-reference.com/players/j/jetereu01.html,5,G,5'11,175 lbs,Portland,USA
Pooh Richardson,5/14/1966,71,https://www.nba.com/stats/player/71/career/,Pooh Richardson,richapo01,5/14/1966,https://www.basketball-reference.com/players/r/richapo01.html,24,G,6'1,180 lbs,UCLA,USA
Popeye Jones,6/17/1970,461,https://www.nba.com/stats/player/461/career/,Popeye Jones,jonespo01,6/17/1970,https://www.basketball-reference.com/players/j/jonespo01.html,54,F,6'8,265 lbs,Murray State,USA
Pops Mensah-Bonsu,9/7/1983,200822,https://www.nba.com/stats/player/200822/career/,Pops Mensah-Bonsu,mensapo01,9/7/1983,https://www.basketball-reference.com/players/m/mensapo01.html,44,F,6'10,240 lbs,George Washington,USA
Porter Meriwether,3/16/1940,77583,https://www.nba.com/stats/player/77583/career/,Porter Meriwether,meriwpo01,3/16/1940,https://www.basketball-reference.com/players/m/meriwpo01.html,14,G,6'2,180 lbs,Tennessee State,USA
Precious Achiuwa,9/19/1999,1630173,https://www.nba.com/stats/player/1630173/career/,Precious Achiuwa,achiupr01,9/19/1999,https://www.basketball-reference.com/players/a/achiupr01.html,5,F,6'8,225 lbs,Memphis,Nigeria
Predrag Drobnjak,10/27/1975,1542,https://www.nba.com/stats/player/1542/career/,Predrag Drobnjak,drobnpr01,10/27/1975,https://www.basketball-reference.com/players/d/drobnpr01.html,14,C,6'11,270 lbs,Efes Pilsen,Serbia
Predrag Savovic,5/21/1976,2453,https://www.nba.com/stats/player/2453/career/,Predrag Savovic,savovpr01,5/21/1976,https://www.basketball-reference.com/players/s/savovpr01.html,4,G,6'6,225 lbs,Hawaii,Serbia
Price Brookfield,5/11/1920,76264,https://www.nba.com/stats/player/76264/career/,Price Brookfield,brookpr01,5/11/1920,https://www.basketball-reference.com/players/b/brookpr01.html,17,F,6'4,185 lbs,West Texas A&M,USA
Priest Lauderdale,8/31/1973,968,https://www.nba.com/stats/player/968/career/,Priest Lauderdale,laudepr01,8/31/1973,https://www.basketball-reference.com/players/l/laudepr01.html,30,C,7'4,325 lbs,Peristeri,USA
Primoz Brezec,10/2/1979,2056,https://www.nba.com/stats/player/2056/career/,Primoû Brezec,brezepr01,10/2/1979,https://www.basketball-reference.com/players/b/brezepr01.html,9,C,7'1,255 lbs,Union Olimpija,Slovenia
Purvis Short,7/2/1957,78139,https://www.nba.com/stats/player/78139/career/,Purvis Short,shortpu01,7/2/1957,https://www.basketball-reference.com/players/s/shortpu01.html,45,F,6'7,210 lbs,Jackson State,USA
Quentin Richardson,4/13/1980,2047,https://www.nba.com/stats/player/2047/career/,Quentin Richardson,richaqu01,4/13/1980,https://www.basketball-reference.com/players/r/richaqu01.html,55,F,6'6,228 lbs,DePaul,USA
Quincy Acy,10/6/1990,203112,https://www.nba.com/stats/player/203112/career/,Quincy Acy,acyqu01,10/6/1990,https://www.basketball-reference.com/players/a/acyqu01.html,13,F,6'7,240 lbs,Baylor,USA
Quincy Douby,5/16/1984,200763,https://www.nba.com/stats/player/200763/career/,Quincy Douby,doubyqu01,5/16/1984,https://www.basketball-reference.com/players/d/doubyqu01.html,5,G,6'3,175 lbs,Rutgers,USA
Quincy Lewis,6/26/1977,1900,https://www.nba.com/stats/player/1900/career/,Quincy Lewis,lewisqu01,6/26/1977,https://www.basketball-reference.com/players/l/lewisqu01.html,20,G-F,6'7,215 lbs,Minnesota,USA
Quincy Miller,11/18/1992,203113,https://www.nba.com/stats/player/203113/career/,Quincy Miller,millequ01,11/18/1992,https://www.basketball-reference.com/players/m/millequ01.html,34,F,6'9,210 lbs,Baylor,USA
Quincy Pondexter,3/10/1988,202347,https://www.nba.com/stats/player/202347/career/,Quincy Pondexter,pondequ01,3/10/1988,https://www.basketball-reference.com/players/p/pondequ01.html,3,F,6'7,230 lbs,Washington,USA
Quinn Buckner,8/20/1954,76296,https://www.nba.com/stats/player/76296/career/,Quinn Buckner,bucknqu01,8/20/1954,https://www.basketball-reference.com/players/b/bucknqu01.html,25,G,6'3,190 lbs,Indiana,USA
Quinn Cook,3/23/1993,1626188,https://www.nba.com/stats/player/1626188/career/,Quinn Cook,cookqu01,3/23/1993,https://www.basketball-reference.com/players/c/cookqu01.html,28,G,6'1,180 lbs,Duke,USA
Quinndary Weatherspoon,9/10/1996,1629683,https://www.nba.com/stats/player/1629683/career/,Quinndary Weatherspoon,weathqu01,9/10/1996,https://www.basketball-reference.com/players/w/weathqu01.html,15,G,6'3,205 lbs,Mississippi State,USA
Quintin Dailey,1/22/1961,76497,https://www.nba.com/stats/player/76497/career/,Quintin Dailey,dailequ01,1/22/1961,https://www.basketball-reference.com/players/d/dailequ01.html,20,G,6'3,180 lbs,San Francisco,USA
Quinton Ross,4/30/1981,2624,https://www.nba.com/stats/player/2624/career/,Quinton Ross,rossqu01,4/30/1981,https://www.basketball-reference.com/players/r/rossqu01.html,3,G-F,6'6,193 lbs,Southern Methodist,USA
Qyntel Woods,2/16/1981,2417,https://www.nba.com/stats/player/2417/career/,Qyntel Woods,woodsqy01,2/16/1981,https://www.basketball-reference.com/players/w/woodsqy01.html,6,F-G,6'8,220 lbs,Northeast Mississippi CC,USA
R.J. Hampton,2/7/2001,1630181,https://www.nba.com/stats/player/1630181/career/,R.J. Hampton,hamptrj01,2/7/2001,https://www.basketball-reference.com/players/h/hamptrj01.html,13,G,6'4,175 lbs,New Zealand Breakers,USA
Rabbit Walthour,4/11/1905,78448,https://www.nba.com/stats/player/78448/career/,Isaac Walthour,walthis01,8/25/1930,https://www.basketball-reference.com/players/w/walthis01.html,,G,5'11,163 lbs,Benjamin Franklin HS (NY),USA
Radisav Curcic,9/26/1965,76488,https://www.nba.com/stats/player/76488/career/,Radisav Curcic,curcira01,9/26/1965,https://www.basketball-reference.com/players/c/curcira01.html,44,C,6'10,275 lbs,Union Olimpija,Serbia
Raef LaFrentz,5/29/1976,1711,https://www.nba.com/stats/player/1711/career/,Raef LaFrentz,lafrera01,5/29/1976,https://www.basketball-reference.com/players/l/lafrera01.html,9,C-F,6'11,240 lbs,Kansas,USA
Rafael Addison,7/22/1964,912,https://www.nba.com/stats/player/912/career/,Rafael Addison,addisra01,7/22/1964,https://www.basketball-reference.com/players/a/addisra01.html,7,F,6'8,241 lbs,Syracuse,USA
Rafael Araujo,8/12/1980,2737,https://www.nba.com/stats/player/2737/career/,Rafael Ara˙jo,araujra01,8/12/1980,https://www.basketball-reference.com/players/a/araujra01.html,55,C,6'11,270 lbs,Brigham Young,Brazil
Rafer Alston,7/24/1976,1747,https://www.nba.com/stats/player/1747/career/,Rafer Alston,alstora01,7/24/1976,https://www.basketball-reference.com/players/a/alstora01.html,11,G,6'2,175 lbs,Fresno State,USA
Raja Bell,9/19/1976,1952,https://www.nba.com/stats/player/1952/career/,Raja Bell,bellra01,9/19/1976,https://www.basketball-reference.com/players/b/bellra01.html,19,G,6'5,210 lbs,Florida International,U.S. Virgin Islands
Rajon Rondo,2/22/1986,200765,https://www.nba.com/stats/player/200765/career/,Rajon Rondo,rondora01,2/22/1986,https://www.basketball-reference.com/players/r/rondora01.html,4,G,6'1,180 lbs,Kentucky,USA
Rakeem Christmas,12/1/1991,1626176,https://www.nba.com/stats/player/1626176/career/,Rakeem Christmas,chrisra01,12/1/1991,https://www.basketball-reference.com/players/c/chrisra01.html,25,F,6'9,250 lbs,Syracuse,USA
Ralph Beard,12/2/1927,76131,https://www.nba.com/stats/player/76131/career/,Ralph Beard,beardra01,12/2/1927,https://www.basketball-reference.com/players/b/beardra01.html,,G,5'10,175 lbs,Kentucky,USA
Ralph Davis,9/7/1938,76532,https://www.nba.com/stats/player/76532/career/,Ralph Davis,davisra01,9/7/1938,https://www.basketball-reference.com/players/d/davisra01.html,25,G,6'4,180 lbs,Cincinnati,USA
Ralph Drollinger,4/20/1954,76604,https://www.nba.com/stats/player/76604/career/,Ralph Drollinger,drollra01,4/20/1954,https://www.basketball-reference.com/players/d/drollra01.html,52,C,7'2,250 lbs,UCLA,USA
Ralph Hamilton,6/10/1921,76927,https://www.nba.com/stats/player/76927/career/,,,,,,,,,Indiana,USA
Ralph Jackson,10/26/1962,77107,https://www.nba.com/stats/player/77107/career/,Ralph Jackson,jacksra01,10/26/1962,https://www.basketball-reference.com/players/j/jacksra01.html,2,G,6'2,190 lbs,UCLA,USA
Ralph Kaplowitz,5/18/1919,77221,https://www.nba.com/stats/player/77221/career/,,,,,9,G,6'2,170 lbs,New York University,USA
Ralph Lewis,3/28/1963,77383,https://www.nba.com/stats/player/77383/career/,Ralph Lewis,lewisra01,3/28/1963,https://www.basketball-reference.com/players/l/lewisra01.html,11,G,6'6,200 lbs,La Salle,USA
Ralph Ogden,1/25/1948,77748,https://www.nba.com/stats/player/77748/career/,Ralph Ogden,ogdenra01,1/25/1948,https://www.basketball-reference.com/players/o/ogdenra01.html,22,F,6'5,205 lbs,Santa Clara,USA
Ralph Polson,10/26/1929,77868,https://www.nba.com/stats/player/77868/career/,Ralph Polson,polsora01,10/26/1929,https://www.basketball-reference.com/players/p/polsora01.html,15,F,6'7,200 lbs,Whitworth,USA
Ralph Sampson,7/7/1960,78055,https://www.nba.com/stats/player/78055/career/,Ralph Sampson,sampsra01,7/7/1960,https://www.basketball-reference.com/players/s/sampsra01.html,50,C,7'4,228 lbs,Virginia,USA
Ralph Siewert,12/31/1923,78148,https://www.nba.com/stats/player/78148/career/,,,,,,,,,Dakota Wesleyan,USA
Ralph Simpson,8/10/1949,78157,https://www.nba.com/stats/player/78157/career/,Ralph Simpson,simpsra01,8/10/1949,https://www.basketball-reference.com/players/s/simpsra01.html,44,G,6'5,200 lbs,Michigan State,USA
Ralph Wells,9/3/1940,78489,https://www.nba.com/stats/player/78489/career/,Ralph Wells,wellsra01,9/3/1940,https://www.basketball-reference.com/players/w/wellsra01.html,23,G,6'1,180 lbs,Northwestern,USA
Ramon Rivas,6/3/1966,77969,https://www.nba.com/stats/player/77969/career/,RamÛn Rivas,rivasra01,6/3/1966,https://www.basketball-reference.com/players/r/rivasra01.html,45,F,6'10,260 lbs,Temple,Puerto Rico
Ramon Sessions,4/11/1986,201196,https://www.nba.com/stats/player/201196/career/,Ramon Sessions,sessira01,4/11/1986,https://www.basketball-reference.com/players/s/sessira01.html,9,G,6'3,190 lbs,Nevada-Reno,USA
Randell Jackson,1/6/1976,1872,https://www.nba.com/stats/player/1872/career/,Randell Jackson,jacksra02,1/16/1976,https://www.basketball-reference.com/players/j/jacksra02.html,50,F,6'11,215 lbs,Florida State,USA
Randolph Childress,9/21/1972,719,https://www.nba.com/stats/player/719/career/,Randolph Childress,childra01,9/21/1972,https://www.basketball-reference.com/players/c/childra01.html,12,G,6'2,188 lbs,Wake Forest,USA
Randolph Keys,4/19/1966,705,https://www.nba.com/stats/player/705/career/,Randolph Keys,keysra01,4/19/1966,https://www.basketball-reference.com/players/k/keysra01.html,31,F,6'7,210 lbs,Southern Mississippi,USA
Randolph Morris,1/2/1986,201043,https://www.nba.com/stats/player/201043/career/,Randolph Morris,morrira01,1/2/1986,https://www.basketball-reference.com/players/m/morrira01.html,33,C,6'11,275 lbs,Kentucky,USA
Randy Allen,1/26/1965,76025,https://www.nba.com/stats/player/76025/career/,Randy Allen,allenra01,1/26/1965,https://www.basketball-reference.com/players/a/allenra01.html,33,F,6'8,220 lbs,Florida State,USA
Randy Breuer,10/11/1960,76247,https://www.nba.com/stats/player/76247/career/,Randy Breuer,breuera01,10/11/1960,https://www.basketball-reference.com/players/b/breuera01.html,45,C,7'3,230 lbs,Minnesota,USA
Randy Brown,5/22/1968,753,https://www.nba.com/stats/player/753/career/,Randy Brown,brownra02,5/22/1968,https://www.basketball-reference.com/players/b/brownra02.html,0,G,6'2,190 lbs,New Mexico State,USA
Randy Denton,2/18/1949,76558,https://www.nba.com/stats/player/76558/career/,Randy Denton,dentora01,2/18/1949,https://www.basketball-reference.com/players/d/dentora01.html,34,C,6'10,240 lbs,Duke,USA
Randy Foye,9/24/1983,200751,https://www.nba.com/stats/player/200751/career/,Randy Foye,foyera01,9/24/1983,https://www.basketball-reference.com/players/f/foyera01.html,2,G,6'4,218 lbs,Villanova,USA
Randy Holcomb,8/8/1979,2450,https://www.nba.com/stats/player/2450/career/,Randy Holcomb,holcora01,8/8/1979,https://www.basketball-reference.com/players/h/holcora01.html,23,F,6'9,220 lbs,San Diego State,USA
Randy Livingston,4/2/1975,988,https://www.nba.com/stats/player/988/career/,Randy Livingston,livinra01,4/2/1975,https://www.basketball-reference.com/players/l/livinra01.html,14,G,6'4,209 lbs,Louisiana State,USA
Randy Smith,12/12/1948,78200,https://www.nba.com/stats/player/78200/career/,Randy Smith,smithra01,12/12/1948,https://www.basketball-reference.com/players/s/smithra01.html,7,G,6'3,180 lbs,Buffalo State,USA
Randy White,11/4/1967,1839,https://www.nba.com/stats/player/1839/career/,Randy White,whitera01,11/4/1967,https://www.basketball-reference.com/players/w/whitera01.html,52,F,6'8,240 lbs,Louisiana Tech,USA
Randy Wittman,10/28/1959,1456,https://www.nba.com/stats/player/1456/career/,Randy Wittman,wittmra01,10/28/1959,https://www.basketball-reference.com/players/w/wittmra01.html,14,G,6'6,210 lbs,Indiana,USA
Randy Woods,9/23/1970,1010,https://www.nba.com/stats/player/1010/career/,Randy Woods,woodsra01,9/23/1970,https://www.basketball-reference.com/players/w/woodsra01.html,10,G,5'10,185 lbs,La Salle,USA
Rashad McCants,9/25/1984,101119,https://www.nba.com/stats/player/101119/career/,Rashad McCants,mccanra01,9/25/1984,https://www.basketball-reference.com/players/m/mccanra01.html,7,G,6'4,215 lbs,North Carolina,USA
Rashad Vaughn,8/16/1996,1626173,https://www.nba.com/stats/player/1626173/career/,Rashad Vaughn,vaughra01,8/16/1996,https://www.basketball-reference.com/players/v/vaughra01.html,20,G,6'6,202 lbs,UNLV,USA
Rashard Lewis,8/8/1979,1740,https://www.nba.com/stats/player/1740/career/,Rashard Lewis,lewisra02,8/8/1979,https://www.basketball-reference.com/players/l/lewisra02.html,9,F,6'10,235 lbs,Elsik HS (TX),USA
