,Date,Team,Acquired,Relinquished,Notes
399,2001-02-13,76ers,Matt Geiger,,activated from IL
400,2001-02-13,Hawks,,Hanno Mottola,placed on IL with sprained left elbow
401,2001-02-13,Spurs,,Malik Rose,placed on IR with sore right hip (DNP)
402,2001-02-13,Spurs,Ira Newble,,activated from IL
403,2001-02-14,Hawks,,Matt Maloney,placed on IR with a strained right hand
404,2001-02-14,Wizards,,Calvin Booth,placed on IR with shooter's elbow
405,2001-02-14,Wizards,Obinna Ekezie,,activated from IL
406,2001-02-15,Cavaliers,,Anthony Johnson,placed on IL with left knee patellar tendinitis
407,2001-02-15,Cavaliers,Wesley Person,,activated from IL
408,2001-02-15,Celtics,,Randy Brown,placed on IL with hyperextended left knee
409,2001-02-15,Celtics,Chris Herren,,activated from IL
410,2001-02-15,Pacers,,Terry Mills,placed on IL with knee injury
411,2001-02-15,Pacers,Sam Perkins,,activated from IL
412,2001-02-16,Hornets,,Derrick Coleman,placed on IL with strained left calf
413,2001-02-16,Rockets,,Jason Collier,placed on IR with quadriceps tendinitis
414,2001-02-16,Rockets,Kelvin Cato,,activated from IL
415,2001-02-18,Kings,,Nick Anderson,placed on IL with lower back spasms
416,2001-02-18,Lakers,,Ron Harper,placed on IL with sore left knee
417,2001-02-18,Lakers,Mike Penberthy,,activated from IL
418,2001-02-20,Magic,,Pat Garrity,placed on IL with surgery on left knee (out 2-3 weeks)
419,2001-02-21,76ers,Theo Ratliff,,activated from IL
420,2001-02-21,Spurs,,Ira Newble,placed on IL with patella tendinitis
421,2001-02-21,Spurs,Sean Elliott,,activated from IL
422,2001-02-22,76ers,Juan Sanchez,,activated from IL
423,2001-02-22,Blazers,,Will Perdue,placed on IL with strained left hamstring
424,2001-02-22,Blazers,Scottie Pippen,,activated from IL
425,2001-02-22,Knicks,,Travis Knight,placed on IL with sprained left ankle
426,2001-02-22,Mavericks,Donnell Harvey,,activated from IL
427,2001-02-22,Mavericks,Eduardo Najera,,activated from IL
428,2001-02-22,Mavericks,Etan Thomas,,activated from IL
429,2001-02-22,Pistons,,Jud Buechler,placed on IL with back spasms
430,2001-02-22,Wizards,,Rod Strickland,placed on IL with sore hamstrings
431,2001-02-22,Wizards,Laron Profit,,activated from IL
432,2001-02-23,Hawks,,Theo Ratliff,placed on IL with a stress fracture in right wrist
433,2001-02-23,Hawks,Hanno Mottola,,activated from IL
434,2001-02-23,Hornets,Lee Nailon,,activated from IL
435,2001-02-23,Mavericks,,Calvin Booth,placed on IR with left elbow tendinitis
436,2001-02-23,Pistons,,Kornel David,placed on IL with back spasms
437,2001-02-23,Pistons,Billy Owens,,activated from IL
438,2001-02-23,Pistons,Brian Cardinal,,activated from IL
439,2001-02-23,Raptors,,Mamadou N'diaye,placed on IL with strained groin
440,2001-02-25,Cavaliers,,Chucky Brown,placed on IL with sprained right ankle
441,2001-02-25,Cavaliers,Matt Harpring,,activated from IL
442,2001-02-25,Knicks,,Tyrone Bogues,placed on IL with sore right knee
443,2001-02-25,Knicks,Rick Brunson,,activated from IL
444,2001-02-26,Celtics,,Jerome Moiso,placed on IR with right infrapatella tendinitis
445,2001-02-26,Celtics,,Kenny Anderson,placed on IL with sprained right ankle
446,2001-02-26,Celtics,Adrian Griffin,,activated from IL
447,2001-02-26,Celtics,Randy Brown,,activated from IL
448,2001-02-27,Mavericks,,Obinna Ekezie,placed on IL with sprained right (left?) ankle
449,2001-02-28,Bulls,,Khalid El-Amin,placed on IL with left knee tendinitis
450,2001-02-28,Bulls,A.J. Guyton,,activated from IL
451,2001-02-28,Nuggets,,Anthony Goldwire,placed on IL with sprained right wrist
452,2001-02-28,Nuggets,Terry Davis,,activated from IL
453,2001-02-28,Rockets,,Matt Bullard,placed on IR with stress fracture in back
454,2001-02-28,Warriors,,Chris Mullin,placed on IL with strained lower back
455,2001-02-28,Warriors,Erick Dampier,,activated from IL
456,2001-03-01,Bucks,,Jerome Kersey,placed on IL with foot injury
457,2001-03-01,Bucks,Darvin Ham,,activated from IL
458,2001-03-02,Bulls,,Dragan Tarlac,placed on IL with left ankle tendinitis
459,2001-03-02,Bulls,Michael Ruffin,,activated from IL
460,2001-03-02,Jazz,,DeShawn Stevenson,placed on IL with right knee tendinitis
461,2001-03-02,Jazz,David Benoit,,activated from IL
462,2001-03-02,Magic,Pat Garrity,,activated from IL
463,2001-03-02,Wizards,,Tyrone Nesby,placed on IL with sprained right ankle
464,2001-03-04,Knicks,,Rick Brunson,placed on IL with plantar fasciatis in right foot
465,2001-03-04,Knicks,Travis Knight,,activated from IL
466,2001-03-05,Blazers,,Greg Anthony,placed on IL with sore right shoulder
467,2001-03-05,Blazers,Gary Grant,,activated from IL
468,2001-03-05,Grizzlies,,Brent Price,placed on IR with right knee osteoarthritis
469,2001-03-05,Grizzlies,Kevin Edwards,,activated from IL
470,2001-03-05,Pistons,,Brian Cardinal,placed on IL with patella tendinitis in both knees
471,2001-03-05,Pistons,Jud Buechler,,activated from IL
472,2001-03-05,Spurs,,Jaren Jackson Sr.,placed on IL with strained right calf
473,2001-03-05,Spurs,Shawnelle Scott,,activated from IL
474,2001-03-06,Knicks,,Luc Longley,placed on IR with sprained left ankle / sore back
475,2001-03-06,Knicks,Felton Spencer,,activated from IL
476,2001-03-06,Wizards,,Chris Whitney,placed on IL with sprained left ankle
477,2001-03-07,76ers,,Roshown McLeod,placed on IL with left leg injury
478,2001-03-07,Heat,,Eddie Jones,placed on IR with dislocated left shoulder
479,2001-03-07,Heat,Ricky Davis,,activated from IL
480,2001-03-07,Pacers,,Bruno Sundov,placed on IL with strained left groin
481,2001-03-07,Pacers,Terry Mills,,activated from IL
482,2001-03-08,Nuggets,,Calbert Cheaney,placed on IL
483,2001-03-08,Nuggets,Anthony Goldwire,,activated from IL
484,2001-03-09,Hawks,,Lorenzen Wright,placed on IL with a sprained right thumb
485,2001-03-10,Pacers,,Derrick McKey,placed on IL with strained lower back
486,2001-03-11,Celtics,,Chris Carr,placed on IL with broken left thumb
487,2001-03-11,Celtics,Jerome Moiso,,activated from IL
488,2001-03-11,Hornets,,Eldridge Recasner,placed on IL with back spasms
489,2001-03-11,Pacers,Lari Ketner,,activated from IL
490,2001-03-12,Hawks,Matt Maloney,,activated from IL
491,2001-03-12,Kings,,Jabari Smith,placed on IL with right knee tendinitis
492,2001-03-12,Kings,Jon Barry,,activated from IL
493,2001-03-13,Lakers,,Mike Penberthy,placed on IL with strained right shoulder
494,2001-03-13,Lakers,Derek Fisher,,activated from IL
495,2001-03-14,Spurs,,Derrick Dial,placed on IL with sprained right wrist
496,2001-03-14,Spurs,Ira Newble,,activated from IL
497,2001-03-15,Rockets,,Hakeem Olajuwon,placed on IR with blood clot in left leg
498,2001-03-15,Rockets,Matt Bullard,,activated from IL
499,2001-03-16,Blazers,,Erick Barkley,placed on IL with sore left knee
500,2001-03-16,Blazers,Greg Anthony,,activated from IL
501,2001-03-16,Bulls,,Michael Ruffin,placed on IR with fractured left hand
502,2001-03-16,Bulls,Dragan Tarlac,,activated from IL
503,2001-03-16,Cavaliers,,Cedric Henderson,placed on IL with strained left groin
504,2001-03-16,Cavaliers,Anthony Johnson,,activated from IL
505,2001-03-16,Pacers,,Lari Ketner,placed on IL with lower back spasms
506,2001-03-16,Pacers,Tyus Edney,,activated from IL
507,2001-03-16,Spurs,,Ira Newble,placed on IR with sprained finger
508,2001-03-16,Spurs,Malik Rose,,activated from IL
509,2001-03-19,Hawks,Lorenzen Wright,,activated from IL
510,2001-03-19,Pacers,,Terry Mills,placed on IL with strained lower back
511,2001-03-19,Pacers,Derrick McKey,,activated from IL
512,2001-03-20,Bulls,Khalid El-Amin,,activated from IL
513,2001-03-20,Cavaliers,,Robert Traylor,placed on IL with lower back spasms
514,2001-03-20,Cavaliers,Chucky Brown,,activated from IL
515,2001-03-21,Hornets,Eldridge Recasner,,activated from IL
516,2001-03-21,Mavericks,,Gary Trent,placed on IR with sprained left toe
517,2001-03-21,Mavericks,Calvin Booth,,activated from IL
518,2001-03-21,Nets,,Jamie Feick,placed on IR with sore left Achilles tendon
519,2001-03-22,Nuggets,Calbert Cheaney,,activated from IL
520,2001-03-23,Lakers,,Tyronn Lue,placed on IL with sprained left ankle
521,2001-03-23,Lakers,Mike Penberthy,,activated from IL
522,2001-03-23,Mavericks,Obinna Ekezie,,activated from IL
523,2001-03-23,Pistons,,Michael Curry,placed on IR with dislocated right thumb
524,2001-03-23,Pistons,Kornel David,,activated from IL
525,2001-03-24,Mavericks,,Donnell Harvey,placed on IR with right elbow tendinitis
526,2001-03-25,Timberwolves,,Anthony Peeler,placed on IL with sprained left ankle
527,2001-03-25,Timberwolves,Sam Jacobson,,activated from IL
528,2001-03-26,Cavaliers,,Jim Jackson,placed on IR with plantar fasciitis in left foot
529,2001-03-26,Cavaliers,Cedric Henderson,,activated from IL
530,2001-03-26,Mavericks,Obinna Ekezie,,activated from IL
531,2001-03-27,Bulls,,Bryce Drew,placed on IR with right foot plantar fascia strain (torn per Bulls media guide)
532,2001-03-27,Heat,,Don MacLean,placed on IR with left knee/quadriceps tendinitis
533,2001-03-27,Heat,Alonzo Mourning,,activated from IL
534,2001-03-27,Jazz,,David Benoit,placed on IR with strained right deltoid muscle (sprained right ankle per P)
535,2001-03-27,Jazz,Quincy Lewis,,activated from IL
536,2001-03-27,Rockets,,Sean Colson,placed on IR with sore right foot
537,2001-03-27,Rockets,Hakeem Olajuwon,,activated from IL
538,2001-03-28,Mavericks,,Mark Bryant,placed on IL with sprained left thumb
539,2001-03-29,Bulls,,Dragan Tarlac,placed on IR with sprained left ankle (sprained right ankle per Bulls media guide)
540,2001-03-29,Bulls,Jake Voskuhl,,activated from IL
541,2001-03-30,Cavaliers,,Cedric Henderson,placed on IL with strained left groin
542,2001-03-30,Cavaliers,Robert Traylor,,activated from IL
543,2001-03-30,Celtics,,Jerome Moiso,placed on IR with right infrapatella tendonitis
544,2001-03-30,Celtics,Tony Battie,,activated from IL
545,2001-03-31,Warriors,,Bob Sura,placed on IL with strained lower back
546,2001-04-02,Hornets,,Lee Nailon,placed on IL with left knee tendinitis
547,2001-04-02,Hornets,Derrick Coleman,,activated from IL
548,2001-04-03,Heat,,Duane Causwell,placed on IL with sprained left ankle
549,2001-04-03,Heat,Todd Fuller,,activated from IL
550,2001-04-04,Magic,,Darrell Armstrong,placed on IL with strained groin
551,2001-04-04,Nuggets,,Terry Davis,placed on IL with strained left calf
552,2001-04-04,Wizards,Tyrone Nesby,,activated from IL
553,2001-04-05,Kings,,Art Long,placed on IL with right knee patella tendinitis
554,2001-04-05,Kings,Nick Anderson,,activated from IL
555,2001-04-05,Rockets,,Maurice Taylor,placed on IR with sore left & right Achilles tendon
556,2001-04-05,Rockets,Sean Colson,,activated from IL
557,2001-04-06,76ers,,Juan Sanchez,placed on IL with right knee tendinitis
558,2001-04-06,Blazers,,Shawn Kemp,"placed on IR, player checked into drug rehab program for cocaine abuse"
559,2001-04-06,Blazers,Antonio Harvey,,activated from IL
560,2001-04-06,Magic,Dee Brown,,activated from IL
561,2001-04-06,Mavericks,,Greg Buckner,placed on IR with dislocated left kneecap
562,2001-04-06,Mavericks,,Obinna Ekezie,placed on IL with left Achilles tendinitis
563,2001-04-06,Mavericks,Donnell Harvey,,activated from IL
564,2001-04-06,Mavericks,Mark Bryant,,activated from IL
565,2001-04-06,Timberwolves,,Sam Jacobson,placed on IL with right knee patella tendinitis
566,2001-04-06,Timberwolves,Anthony Peeler,,activated from IL
567,2001-04-07,Celtics,,Randy Brown,placed on IR with a right adductor strain
568,2001-04-07,Celtics,Jerome Moiso,,activated from IL
569,2001-04-07,Jazz,,Quincy Lewis,placed on IL with tendinitis in both knees
570,2001-04-07,Jazz,David Benoit,,activated from IL
571,2001-04-07,Knicks,,Lavor Postell,placed on IL with strep throat
572,2001-04-08,Knicks,Rick Brunson,,activated from IL
573,2001-04-08,Pistons,,Billy Owens,placed on IL with back spasms
574,2001-04-09,Jazz,David Benoit,,activated from IL
575,2001-04-09,Pistons,Brian Cardinal,,activated from IL
576,2001-04-10,Blazers,,Bonzi Wells,placed on IL with torn ACL in left knee (out for season)
577,2001-04-10,Blazers,Will Perdue,,activated from IL
578,2001-04-10,Heat,,Todd Fuller,placed on IL with left knee tendinitis
579,2001-04-10,Heat,Eddie Jones,,activated from IL
580,2001-04-10,Hornets,,Tim James,placed on IL with left knee tendinitis
581,2001-04-10,Lakers,,Isaiah Rider,placed on IL with back spasms
582,2001-04-10,Lakers,Stanislav Medvedenko,,activated from IL
583,2001-04-11,Jazz,,Scott Padgett,placed on IL with strained right groin
584,2001-04-11,Jazz,DeShawn Stevenson,,activated from IL
585,2001-04-13,Bulls,,Jamal Crawford,placed on IL with hyperextended left knee
586,2001-04-13,Bulls,Dragan Tarlac,,activated from IL
587,2001-04-14,Bucks,,Tim Thomas,placed on IR with right shoulder subluxation
588,2001-04-14,Bucks,Jerome Kersey,,activated from IL
589,2001-04-14,Warriors,Bob Sura,,activated from IL
590,2001-04-15,Heat,,Tim Hardaway Sr.,placed on IL with bruised left foot
591,2001-04-15,Heat,Duane Causwell,,activated from IL
592,2001-04-15,Magic,,Cory Alexander,placed on IL with bruised right foot
593,2001-04-15,Magic,Darrell Armstrong,,activated from IL
594,2001-04-15,Sonics,,Jelani McCoy,placed on IL with sprained left ankle
595,2001-04-15,Sonics,David Wingate,,activated from IL
596,2001-04-16,Cavaliers,,Vernell Coles,placed on IL with sprained right thumb
597,2001-04-16,Cavaliers,Jim Jackson,,activated from IL
598,2001-04-16,Clippers,,Corey Maggette,placed on IL with strained right groin
599,2001-04-16,Clippers,Zendon Hamilton,,activated from IL
600,2001-04-17,76ers,,Allen Iverson,placed on IR with bursitis in right elbow
601,2001-04-17,76ers,Roshown McLeod,,activated from IL
602,2001-04-17,Bucks,,Jason Caffey,placed on IL with left knee tendinitis
603,2001-04-17,Bucks,,Sam Cassell,placed on IL with strained right hip flexor
604,2001-04-17,Bucks,Jason Hart,,activated from IL
605,2001-04-17,Bucks,Michael Redd,,activated from IL
606,2001-04-17,Pacers,,Derrick McKey,placed on IL with strained lower back
607,2001-04-17,Pacers,,Sam Perkins,placed on IL with sprained left ankle
608,2001-04-17,Pacers,Bruno Sundov,,activated from IL
609,2001-04-17,Pacers,Terry Mills,,activated from IL
610,2001-04-18,76ers,,Dikembe Mutombo,placed on IR with sprained left fifth toe
611,2001-04-18,76ers,Juan Sanchez,,activated from IL
612,2001-04-18,Heat,,Anthony Mason Sr.,placed on IL with sprained left ankle
613,2001-04-18,Heat,Don MacLean,,activated from IL
614,2001-04-18,Kings,,Lawrence Funderburke,placed on IL with strained left groin
615,2001-04-18,Kings,Jabari Smith,,activated from IL
616,2001-04-18,Knicks,,Marcus Camby,placed on IL with bruised left hip
617,2001-04-18,Knicks,Lavor Postell,,activated from IL
618,2001-04-18,Timberwolves,,Kevin Garnett,placed on IL with bruised left calf
619,2001-04-18,Timberwolves,Tom Hammonds,,activated from IL
620,2001-04-20,76ers,Allen Iverson,,activated from IL
621,2001-04-20,76ers,Dikembe Mutombo,,activated from IL
622,2001-04-20,Bucks,Jason Caffey,,activated from IL
623,2001-04-20,Bucks,Sam Cassell,,activated from IL
624,2001-04-20,Bucks,Tim Thomas,,activated from IL
625,2001-04-20,Heat,Anthony Mason Sr.,,activated from IL
626,2001-04-20,Heat,Tim Hardaway Sr.,,activated from IL
627,2001-04-20,Kings,Lawrence Funderburke,,activated from IL
628,2001-04-20,Knicks,Marcus Camby,,activated from IL
629,2001-04-20,Lakers,Ron Harper,,activated from IL
630,2001-04-20,Lakers,Tyronn Lue,,activated from IL
631,2001-04-20,Mavericks,Greg Buckner,,activated from IL
632,2001-04-20,Pacers,Derrick McKey,,activated from IL
633,2001-04-20,Pacers,Sam Perkins,,activated from IL
634,2001-04-20,Timberwolves,Kevin Garnett,,activated from IL
635,2001-06-16,Grizzlies,Brent Price,,activated from IL
636,2001-07-01,76ers,Craig Claxton,,activated from IL
637,2001-07-01,Clippers,Corey Maggette,,activated from IL
638,2001-07-01,Clippers,Earl Boykins,,activated from IL
639,2001-07-01,Grizzlies,Doug West,,activated from IL
640,2001-07-01,Knicks,Luc Longley,,activated from IL
641,2001-07-01,Knicks,Tyrone Bogues,,activated from IL
642,2001-07-01,Lakers,Isaiah Rider,,activated from IL
643,2001-07-01,Mavericks,Gary Trent,,activated from IL
644,2001-07-01,Mavericks,Obinna Ekezie,,activated from IL
645,2001-07-23,Blazers,Bonzi Wells,,activated from IL
646,2001-07-23,Blazers,Erick Barkley,,activated from IL
647,2001-07-23,Blazers,Shawn Kemp,,activated from IL
648,2001-07-23,Blazers,Will Perdue,,activated from IL
649,2001-07-23,Bulls,Bryce Drew,,activated from IL
650,2001-07-23,Bulls,Jamal Crawford,,activated from IL
651,2001-07-23,Bulls,Michael Ruffin,,activated from IL
652,2001-07-23,Cavaliers,Cedric Henderson,,activated from IL
653,2001-07-23,Cavaliers,Vernell Coles,,activated from IL
654,2001-07-23,Cavaliers,Zydrunas Ilgauskas,,activated from IL
655,2001-07-23,Celtics,Chris Carr,,activated from IL
656,2001-07-23,Celtics,Kenny Anderson,,activated from IL
657,2001-07-23,Celtics,Randy Brown,,activated from IL
658,2001-07-23,Hawks,Theo Ratliff,,activated from IL
659,2001-07-23,Heat,Todd Fuller,,activated from IL
660,2001-07-23,Hornets,Lee Nailon,,activated from IL
661,2001-07-23,Hornets,Tim James,,activated from IL
662,2001-07-23,Jazz,Quincy Lewis,,activated from IL
663,2001-07-23,Jazz,Scott Padgett,,activated from IL
664,2001-07-23,Kings,Art Long,,activated from IL
665,2001-07-23,Magic,Cory Alexander,,activated from IL
666,2001-07-23,Magic,Grant Hill,,activated from IL
667,2001-07-23,Pacers,Lari Ketner,,activated from IL
