Date,Team,Acquired,Relinquished,Notes
2000-12-23,Magic,, Grant Hill,left ankle injury (DNP)
2000-12-23,Rockets,, Cuttino Mobley,hyperextended left elbow (DNP)
2000-12-23,Rockets,, Steve Francis,sprained right ankle (DNP)
2000-12-23,Sonics,, Jelani McCoy,sprained left knee (DNP)
2000-12-23,Warriors,, Adam Keefe,fractured nose (DNP)
2000-12-23,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2000-12-23,Warriors,, Erick Dampier,recovering from left knee surgery (DNP)
2000-12-23,Wizards,, Jahidi White,sprained left knee (DNP)
2000-12-23,Wizards,, Richard Hamilton,sprained left ankle (DNP)
2000-12-25,Cavaliers,, Zydrunas Ilgauskas,stress fracture in left foot (out indefinitely)
2000-12-25,Magic,, Grant Hill,left ankle injury (DNP)
2000-12-26,76ers,, Allen Iverson,dislocated right shoulder (DNP)
2000-12-26,76ers,, Matt Geiger,sore right knee (DNP)
2000-12-26,Celtics,, Randy Brown,sprained right ankle (DNP)
2000-12-26,Hornets,, Jamaal Magloire,sore left foot (DNP)
2000-12-26,Magic,, Grant Hill,left ankle injury (DNP)
2000-12-26,Mavericks,, Loy Vaught,bruised right knee (DNP)
2000-12-26,Rockets,, Kelvin Cato,sprained left ankle (DNP)
2000-12-27,76ers,, Matt Geiger,sore right knee (DNP)
2000-12-27,Heat,, Don MacLean,recovering from surgery on right toe (DNP)
2000-12-27,Heat,, Duane Causwell,right knee tendinitis (DNP)
2000-12-27,Knicks,, Marcus Camby,strained left groin (DNP)
2000-12-27,Rockets,, Kelvin Cato,sprained right ankle (DNP)
2000-12-27,Sonics,, Emanual Davis,sprained right knee (DNP)
2000-12-27,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2000-12-27,Warriors,, Erick Dampier,recovering from left knee surgery (DNP)
2000-12-27,Wizards,, Jahidi White,sprained left knee (DNP)
2000-12-28,Cavaliers,, Chris Gatling,sprained right ankle (DNP)
2000-12-28,Cavaliers,, Matt Harpring,sprained left Achilles tendon (DNP)
